2017-07-13 18:17:36.388 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 48] - Starting SpringBootSkeletonApplication on LAPTOP-0E5JL9PN with PID 10780 (D:\idea\SpringBootSkeleton\skeleton\target\classes started by songx in D:\idea\SpringBootSkeleton)
2017-07-13 18:17:36.389 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [SpringApplication.java : 597] - The following profiles are active: dev
2017-07-13 18:18:04.069 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 57] - Started SpringBootSkeletonApplication in 28.406 seconds (JVM running for 35.631)
2017-07-13 18:18:26.536 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 48] - Starting SpringBootSkeletonApplication on LAPTOP-0E5JL9PN with PID 10780 (D:\idea\SpringBootSkeleton\skeleton\target\classes started by songx in D:\idea\SpringBootSkeleton)
2017-07-13 18:18:26.542 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [SpringApplication.java : 597] - The following profiles are active: dev
2017-07-13 18:18:52.035 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 57] - Started SpringBootSkeletonApplication in 25.985 seconds (JVM running for 83.598)
2017-07-13 18:20:56.226 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 48] - Starting SpringBootSkeletonApplication on LAPTOP-0E5JL9PN with PID 8460 (D:\idea\SpringBootSkeleton\skeleton\target\classes started by songx in D:\idea\SpringBootSkeleton)
2017-07-13 18:20:56.228 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [SpringApplication.java : 597] - The following profiles are active: dev
2017-07-13 18:21:16.328 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 57] - Started SpringBootSkeletonApplication in 21.085 seconds (JVM running for 21.937)
2017-07-13 18:26:04.264 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 48] - Starting SpringBootSkeletonApplication on LAPTOP-0E5JL9PN with PID 968 (D:\idea\SpringBootSkeleton\skeleton\target\classes started by songx in D:\idea\SpringBootSkeleton)
2017-07-13 18:26:04.265 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [SpringApplication.java : 597] - The following profiles are active: dev
